num_regions: 500
region100: [[1.65, 0.3, -0.75], [1.25, 0.3, -0.75], [1.25, -0.1, -0.75], [1.65, -0.1, -0.75]]
region101: [[1.25, 0.3, -0.75], [0.85, 0.3, -0.75], [0.85, -0.1, -0.75], [1.25, -0.1, -0.75]]
region102: [[0.85, 0.3, -0.75], [0.45, 0.3, -0.75], [0.45, -0.1, -0.75], [0.85, -0.1, -0.75]]
region103: [[0.45, 0.3, -0.75], [0.05, 0.3, -0.75], [0.05, -0.1, -0.75], [0.45, -0.1, -0.75]]
region104: [[0.05, 0.3, -0.75], [-0.35, 0.3, -0.75], [-0.35, -0.1, -0.75], [0.05, -0.1, -0.75]]
region105: [[-0.35, 0.3, -0.75], [-0.75, 0.3, -0.75], [-0.75, -0.1, -0.75], [-0.35, -0.1, -0.75]]
region106: [[-0.75, 0.3, -0.75], [-1.15, 0.3, -0.75], [-1.15, -0.1, -0.75], [-0.75, -0.1, -0.75]]
region107: [[-1.15, 0.3, -0.75], [-1.55, 0.3, -0.75], [-1.55, -0.1, -0.75], [-1.15, -0.1, -0.75]]
region108: [[-1.55, 0.3, -0.75], [-1.95, 0.3, -0.75], [-1.95, -0.1, -0.75], [-1.55, -0.1, -0.75]]
region109: [[-1.95, 0.3, -0.75], [-2.35, 0.3, -0.75], [-2.35, -0.1, -0.75], [-1.95, -0.1, -0.75]]
region110: [[-2.35, 0.3, -0.75], [-2.75, 0.3, -0.75], [-2.75, -0.1, -0.75], [-2.35, -0.1, -0.75]]
region111: [[-2.75, 0.3, -0.75], [-3.15, 0.3, -0.75], [-3.15, -0.1, -0.75], [-2.75, -0.1, -0.75]]
region112: [[-3.15, 0.3, -0.75], [-3.55, 0.3, -0.75], [-3.55, -0.1, -0.75], [-3.15, -0.1, -0.75]]
region113: [[-3.55, 0.3, -0.75], [-3.95, 0.3, -0.75], [-3.95, -0.1, -0.75], [-3.55, -0.1, -0.75]]
region114: [[-3.95, 0.3, -0.75], [-4.35, 0.3, -0.75], [-4.35, -0.1, -0.75], [-3.95, -0.1, -0.75]]
region115: [[-4.35, 0.3, -0.75], [-4.75, 0.3, -0.75], [-4.75, -0.1, -0.75], [-4.35, -0.1, -0.75]]
region116: [[-4.75, 0.3, -0.75], [-5.15, 0.3, -0.75], [-5.15, -0.1, -0.75], [-4.75, -0.1, -0.75]]
